igre,disciplina,mesto,ime,drzava,rezultat 
Sydney 2000,discus throw men,10,Michael Moellenbeck,GER,63.14
Sydney 2000,discus throw men,11,Dmitriy Shevchenko,RUS,62.65
Sydney 2000,discus throw men,12,Tony Washington,USA,59.87
Sydney 2000,hammer throw men,1,Szymon Ziolkowski,POL,80.02
Sydney 2000,hammer throw men,2,Nicola Vizzoni,ITA,79.64
Sydney 2000,hammer throw men,3,Igor Astapkovich,BLR,79.17
Sydney 2000,hammer throw men,4,Ivan Tsikhan,BLR,79.17
Sydney 2000,hammer throw men,5,Ilya Konovalov,RUS,78.56
Sydney 2000,hammer throw men,6,Loris Paoluzzi,ITA,78.18
Sydney 2000,hammer throw men,7,Tibor Gecsek,HUN,77.70
Sydney 2000,hammer throw men,8,Vladimir Maska,CZE,77.32
Sydney 2000,hammer throw men,9,Koji Murofushi,JPN,76.60
Sydney 2000,hammer throw men,10,Andriy Skvaruk,UKR,75.50
Sydney 2000,hammer throw men,11,David Chaussinand,FRA,75.26
Sydney 2000,hammer throw men,12,Alexandros Papadimitriou,GRE,73.30
Sydney 2000,high jump men,1,Sergey Klyugin,RUS,2.35
Sydney 2000,high jump men,2,Javier Sotomayor,CUB,2.32
Sydney 2000,high jump men,3,Abderrahmane Hammad,ALG,2.32
Sydney 2000,high jump men,4,Stefan Holm,SWE,2.32
Sydney 2000,high jump men,5,Konstantin Matusevich,ISR,2.32
Sydney 2000,high jump men,6,Mark Boswell,CAN,2.32
Sydney 2000,high jump men,8,Wolfgang Kreissig,GER,2.29
Sydney 2000,high jump men,9,Sergii Dymchenko,UKR,2.29
Sydney 2000,high jump men,10,Vyacheslav Voronin,RUS,2.29
Sydney 2000,high jump men,11,Nathan Leeper,USA,2.25
Sydney 2000,high jump men,12,Kwaku Boateng,CAN,2.25
Sydney 2000,high jump men,13,Kenny Evans,USA,2.20
Sydney 2000,javelin throw men,1,Jan Zelezny,CZE,90.17
Sydney 2000,javelin throw men,2,Steve Backley,GBR,89.85
Sydney 2000,javelin throw men,3,Sergey Makarov,RUS,88.67
Sydney 2000,javelin throw men,4,Raymond Hecht,GER,87.76
Sydney 2000,javelin throw men,5,Aki Parviainen,FIN,86.62
Sydney 2000,javelin throw men,6,Kostas Gatsioudis,GRE,86.53
Sydney 2000,javelin throw men,7,Boris Henry,GER,85.78
Sydney 2000,javelin throw men,8,Emeterio Gonzalez,CUB,83.33
Sydney 2000,javelin throw men,9,Pal Arne Fagernes,NOR,83.04
Sydney 2000,javelin throw men,10,Dariusz Trafas,POL,82.30
Sydney 2000,javelin throw men,11,Mick Hill,GBR,81.00
Sydney 2000,javelin throw men,12,Breaux Greer,USA,79.91
Sydney 2000,long jump men,1,Ivan Pedroso,CUB,8.55
Sydney 2000,long jump men,2,Jai Taurima,AUS,8.49
Sydney 2000,long jump men,3,Roman Schurenko,UKR,8.31
Sydney 2000,long jump men,4,Oleksii Lukashevych,UKR,8.26
Sydney 2000,long jump men,5,Kofi Amoah Prah,GER,8.19
Sydney 2000,long jump men,6,Peter Burge,AUS,8.15
Sydney 2000,long jump men,7,Luis Meliz,CUB,8.08
Sydney 2000,long jump men,8,Dwight Phillips,USA,8.06
Sydney 2000,long jump men,9,Bogdan Tarus,ROU,8.00
Sydney 2000,long jump men,10,Carlos Calado,POR,7.94
Sydney 2000,long jump men,11,Petar Dachev,BUL,7.80
Sydney 2000,long jump men,12,Vladimir Malyavin 1,RUS,7.67
Sydney 2000,marathon men,1,Gezahegne Abera,ETH,02h10:11
Sydney 2000,marathon men,2,Erick Wainaina,KEN,02h10:31
Sydney 2000,marathon men,3,Tesfaye Tola,ETH,02h11:10
Sydney 2000,marathon men,4,Jon Brown,GBR,02h11:17
Sydney 2000,marathon men,5,Giacomo Leone,ITA,02h12:14
Sydney 2000,marathon men,6,Martin Fiz,ESP,02h13:06
Sydney 2000,marathon men,7,Abdelkader El Mouaziz,MAR,02h13:49
Sydney 2000,marathon men,8,Mohamed Ouaadi,FRA,02h14:04
Sydney 2000,marathon men,9,Tendai Chimusasa,ZIM,02h14:19
Sydney 2000,marathon men,10,Steve Moneghetti,AUS,02h14:50
Sydney 2000,marathon men,11,Antonio Pinto,POR,02h15:17
Sydney 2000,marathon men,12,Hendrick Ramaala,RSA,02h16:19
Sydney 2000,pole vault men,1,Nick Hysong,USA,5.90
Sydney 2000,pole vault men,2,Lawrence Johnson,USA,5.90
Sydney 2000,pole vault men,3,Maksim Tarasov,RUS,5.90
Sydney 2000,pole vault men,4,Michael Stolle,GER,5.90
Sydney 2000,pole vault men,5,Viktor Tchistiakov,AUS,5.80
Sydney 2000,pole vault men,7,Okkert Brits,RSA,5.80
Sydney 2000,pole vault men,8,Daniel Ecker,GER,5.80
Sydney 2000,pole vault men,9,Ramon Miranda,ESP,5.70
Sydney 2000,pole vault men,10,Alexander Averbukh,ISR,5.50
Sydney 2000,pole vault men,13,Tim Lobinger,GER,5.50
Sydney 2000,shot put men,1,Arsi Harju,FIN,21.29
Sydney 2000,shot put men,2,Adam Nelson,USA,21.21
Sydney 2000,shot put men,3,John Godina,USA,21.20
Sydney 2000,shot put men,4,Andrew Bloom,USA,20.87
Sydney 2000,shot put men,5,Yuriy Bilonog,UKR,20.84
Sydney 2000,shot put men,6,Manuel Martinez 1,ESP,20.55
Sydney 2000,shot put men,7,Janus Robberts,RSA,20.32
Sydney 2000,shot put men,8,Oliver Sven Buder,GER,20.18
Sydney 2000,shot put men,9,Andrei Mikhnevich,BLR,19.48
Sydney 2000,shot put men,10,Miroslav Menc,CZE,19.39
Sydney 2000,shot put men,11,Milan Haborak,SVK,19.06
Sydney 2000,shot put men,12,Timo Aaltonen,FIN,18.64
Sydney 2000,triple jump men,1,Jonathan Edwards 1,GBR,17.71
Sydney 2000,triple jump men,2,Yoel Garcia,CUB,17.47
Sydney 2000,triple jump men,3,Denis Kapustin,RUS,17.46
Sydney 2000,triple jump men,4,Yoelvis Quesada,CUB,17.37
Sydney 2000,triple jump men,5,Onochie Achike,GBR,17.29
Sydney 2000,triple jump men,6,Phillips Idowu,GBR,17.08
Sydney 2000,triple jump men,7,Robert Howard,USA,17.05
Sydney 2000,triple jump men,8,Paolo Camossi,ITA,16.96
Sydney 2000,triple jump men,9,Rostislav Dimitrov,BUL,16.95
Sydney 2000,triple jump men,10,Andrew Murphy,AUS,16.80
Sydney 2000,triple jump men,11,Walter L Davis,USA,16.61
Sydney 2000,10000m women,1,Derartu Tulu,ETH,30:17.49
Sydney 2000,10000m women,2,Gete Wami,ETH,30:22.48
Sydney 2000,10000m women,3,Fernanda Ribeiro,POR,30:22.88
Sydney 2000,10000m women,4,Paula Radcliffe,GBR,30:26.97
Sydney 2000,10000m women,5,Tegla Loroupe,KEN,30:37.26
Sydney 2000,10000m women,6,Sonia O Sullivan,IRL,30:53.37
Sydney 2000,10000m women,7,Ji Li,CHN,31:06.94
Sydney 2000,10000m women,8,Elana Meyer,RSA,31:14.70
Sydney 2000,10000m women,9,Lidiya Grigoryeva,RUS,31:21.27
Sydney 2000,10000m women,10,Yuko Kawakami,JPN,31:27.44
Sydney 2000,10000m women,11,Olivera Jevtic,YUG,31:29.65
Sydney 2000,10000m women,12,Berhane Adere,ETH,31:40.52
Sydney 2000,10000m women,13,Lioudmila Biktacheva,RUS,31:47.10
Sydney 2000,10000m women,14,Alice Timbilil,KEN,31:50.22
Sydney 2000,10000m women,15,Chiemi Takahashi,JPN,31:52.59
Sydney 2000,10000m women,16,Libbie Hickman,USA,31:56.94
Sydney 2000,10000m women,17,Sally Barsosio,KEN,31:57.41
Sydney 2000,10000m women,18,Asmae Leghzaoui,MAR,31:59.21
Sydney 2000,10000m women,19,Jelena Prokopcuka,LAT,32:17.72
Sydney 2000,10000m women,20,Harumi Hiroyama,JPN,32:24.17
Sydney 2000,100m hurdles women,1,Olga Shishigina,KAZ,12.65
Sydney 2000,100m hurdles women,2,Gloria Alozie,NGR,12.68
Sydney 2000,100m hurdles women,3,Melissa Morrison,USA,12.76
Sydney 2000,100m hurdles women,4,Delloreen Ennis London,JAM,12.80
Sydney 2000,100m hurdles women,5,Aliuska Lopez,CUB,12.83
Sydney 2000,100m hurdles women,6,Nicole Ramalalanirina,FRA,12.91
Sydney 2000,100m hurdles women,7,Linda Ferga Khodadin,FRA,13.11
Sydney 2000,100m hurdles women,8,Brigitte Foster Hylton,JAM,13.49
Sydney 2000,100m women,2,Tanya Lawrence,JAM,11.18
Sydney 2000,100m women,3,Merlene Ottey,JAM,11.19
Sydney 2000,100m women,4,Zhanna Block,UKR,11.20
Sydney 2000,100m women,5,Chandra Sturrup,BAH,11.21
Sydney 2000,100m women,6,Sevatheda Fynes,BAH,11.22
Sydney 2000,100m women,7,Debbie Ferguson Mckenzie,BAH,11.29
Sydney 2000,1500m women,1,Nouria Merah Benida,ALG,04:05.10
Sydney 2000,1500m women,2,Violeta Szekely,ROU,04:05.15
Sydney 2000,1500m women,3,Gabriela Szabo,ROU,04:05.27
Sydney 2000,1500m women,4,Kutre Dulecha,ETH,04:05.33
Sydney 2000,1500m women,5,Lidia Chojecka,POL,04:06.42
Sydney 2000,1500m women,6,Anna Jakubczak Pawelec,POL,04:06.49
Sydney 2000,1500m women,7,Kelly Holmes,GBR,04:08.02
Sydney 2000,1500m women,8,Marla Runyan,USA,04:08.30
Sydney 2000,1500m women,9,Sabine Fischer,SUI,04:08.84
Sydney 2000,1500m women,10,Carla Sacramento,POR,04:11.15
Sydney 2000,1500m women,11,Hayley Tullett,GBR,04:22.29
Sydney 2000,1500m women,12,Suzy Favor Hamilton,USA,04:23.05
Sydney 2000,200m women,1,Pauline Davis,BAH,22.27
Sydney 2000,200m women,2,Susanthika Jayasinghe,SRI,22.28
Sydney 2000,200m women,3,Beverly Mcdonald,JAM,22.35
Sydney 2000,200m women,4,Debbie Ferguson Mckenzie,BAH,22.37
Sydney 2000,200m women,5,Melinda Gainsford,AUS,22.42
Sydney 2000,200m women,6,Cathy Freeman,AUS,22.53
Sydney 2000,200m women,7,Zhanna Block,UKR,22.66
Sydney 2000,20km race walk women,1,Liping Wang 1,CHN,01h29:05
Sydney 2000,400m hurdles women,1,Irina Privalova,RUS,53.02
Sydney 2000,400m hurdles women,2,Deon Marie Hemmings,JAM,53.45
Sydney 2000,400m hurdles women,3,Nezha Bidouane,MAR,53.57
Sydney 2000,400m hurdles women,4,Daimi Pernia,CUB,53.68
Sydney 2000,400m hurdles women,5,Tetyana Tereshchuk,UKR,53.98
Sydney 2000,400m hurdles women,6,Ionela Tirlea,ROU,54.35
Sydney 2000,400m hurdles women,7,Gudrun Arnardottir,ISL,54.63
Sydney 2000,400m hurdles women,8,Natasha Danvers,GBR,55.00
Sydney 2000,400m women,1,Cathy Freeman,AUS,49.11
Sydney 2000,400m women,2,Lorraine Fenton,JAM,49.58
Sydney 2000,400m women,3,Katharine Merry,GBR,49.72
Sydney 2000,400m women,4,Donna Fraser,GBR,49.79
Sydney 2000,400m women,5,Ana Guevara,MEX,49.96
Sydney 2000,400m women,6,Heide Seyerling,RSA,50.05
Sydney 2000,400m women,7,Falilat Ogunkoya,NGR,50.12
Sydney 2000,400m women,8,Olga Kotlyarova,RUS,51.04
Sydney 2000,4x100m relay women,1,,BAH,41.95
Sydney 2000,4x100m relay women,2,,JAM,42.13
Sydney 2000,4x100m relay women,3,,USA,42.20
Sydney 2000,4x100m relay women,4,,FRA,42.42
Sydney 2000,4x100m relay women,5,,RUS,43.02
Sydney 2000,4x100m relay women,6,,GER,43.11
Sydney 2000,4x100m relay women,7,,NGR,44.05
Sydney 2000,4x100m relay women,8,,CHN,44.87
Sydney 2000,4x400m relay women,1,,USA,03:22.62
Sydney 2000,4x400m relay women,2,,JAM,03:23.25
Sydney 2000,4x400m relay women,3,,RUS,03:23.46
Sydney 2000,4x400m relay women,4,,NGR,03:23.80
Sydney 2000,4x400m relay women,5,,AUS,03:23.81
Sydney 2000,4x400m relay women,6,,GBR,03:25.67
Sydney 2000,4x400m relay women,7,,CZE,03:29.17
Sydney 2000,4x400m relay women,8,,CUB,03:29.47
Sydney 2000,5000m women,1,Gabriela Szabo,ROU,14:40.79
Sydney 2000,5000m women,2,Sonia O Sullivan,IRL,14:41.02
Sydney 2000,5000m women,3,Gete Wami,ETH,14:42.23
Sydney 2000,5000m women,4,Ayelech Worku,ETH,14:42.67
Sydney 2000,5000m women,5,Irina Mikitenko,GER,14:43.59
Sydney 2000,5000m women,6,Lydia Cheromei,KEN,14:47.35
Sydney 2000,5000m women,7,Werknesh Kidane,ETH,14:47.40
Sydney 2000,5000m women,8,Olga Yegorova,RUS,14:50.31
Sydney 2000,5000m women,9,Jelena Prokopcuka,LAT,14:55.46
Sydney 2000,5000m women,10,Daniela Yordanova,BUL,14:56.95
Sydney 2000,5000m women,11,Rose Cheruiyot,KEN,14:58.07
Sydney 2000,5000m women,12,Joanne Pavey,GBR,14:58.27
Sydney 2000,5000m women,13,Tatyana Tomashova,RUS,15:01.28
Sydney 2000,5000m women,14,Vivian Jepkemoi Cheruiyot,KEN,15:33.66
Sydney 2000,800m women,1,Maria Mutola,MOZ,01:56.15
Sydney 2000,800m women,2,Stephanie Graf,AUT,01:56.64
Sydney 2000,800m women,3,Kelly Holmes,GBR,01:56.80
Sydney 2000,800m women,4,Brigita Langerholc,SLO,01:58.51
Sydney 2000,800m women,5,Helena Fuchsova,CZE,01:58.56
Sydney 2000,800m women,6,Zulia Calatayud,CUB,01:58.66
Sydney 2000,800m women,7,Hazel Clark Riley,USA,01:58.75
Sydney 2000,800m women,8,Hasna Benhassi,MAR,01:59.27
Sydney 2000,discus throw women,1,Ellina Zvereva,BLR,68.40
Sydney 2000,discus throw women,2,Anastasia Kelesidou,GRE,65.71
Sydney 2000,discus throw women,3,Iryna Yatchenko,BLR,65.20
Sydney 2000,discus throw women,4,Natalya Sadova,RUS,65.00
Sydney 2000,discus throw women,5,Stiliani Tsikouna,GRE,64.08
Sydney 2000,discus throw women,6,Franka Dietzsch,GER,63.18
Sydney 2000,discus throw women,7,Ilke Wyludda,GER,63.16
Sydney 2000,discus throw women,8,Lisa Marie Vizaniari,AUS,62.57
Sydney 2000,discus throw women,9,Aikaterini Vongoli,GRE,61.57
Sydney 2000,discus throw women,10,Seilala Sua,USA,59.85
Sydney 2000,discus throw women,11,Teresa Machado,POR,59.50
Sydney 2000,discus throw women,12,Beatrice Faumuina,NZL,58.69
Sydney 2000,discus throw women,13,Xin Yu,CHN,58.34
Sydney 2000,hammer throw women,1,Kamila Skolimowska,POL,71.16
Sydney 2000,hammer throw women,2,Olga Kuzenkova,RUS,69.77
Sydney 2000,hammer throw women,3,Kirsten Munchow,GER,69.28
Sydney 2000,hammer throw women,4,Yipsi Moreno,CUB,68.33
Sydney 2000,hammer throw women,5,Debbie Sosimenko,AUS,67.95
Sydney 2000,hammer throw women,6,Lyudmila Gubkina,BLR,67.08
Sydney 2000,hammer throw women,7,Dawn Ellerbe,USA,66.80
Sydney 2000,hammer throw women,8,Amy Palmer,USA,66.15
Sydney 2000,hammer throw women,9,Lorraine Shaw,GBR,64.27
Sydney 2000,hammer throw women,10,Svetlana Sudak,BLR,64.21
Sydney 2000,hammer throw women,11,Ivana Brkljacic,CRO,63.20
Sydney 2000,hammer throw women,12,Sini Poyry,FIN,62.49
Sydney 2000,heptathlon women,1,Denise Lewis,GBR,6584
Sydney 2000,heptathlon women,2,Yelena Prokhorova,RUS,6531
Sydney 2000,heptathlon women,3,Natalya Sazanovich,BLR,6527
Sydney 2000,heptathlon women,4,Urszula Wlodarczyk,POL,6470
Sydney 2000,heptathlon women,5,Sabine Braun,GER,6355
Sydney 2000,heptathlon women,6,Natalya Roshchupkina,RUS,6237
Sydney 2000,heptathlon women,7,Karin Ertl,GER,6209
Sydney 2000,heptathlon women,8,Tiia Hautala,FIN,6173
Sydney 2000,heptathlon women,9,Dedee Nathan,USA,6150
Sydney 2000,heptathlon women,10,Jane Jamieson,AUS,6104
Sydney 2000,heptathlon women,11,Magalys Garcia,CUB,6054
Sydney 2000,heptathlon women,12,Austra Skujyte,LTU,6034
Sydney 2000,heptathlon women,13,Susanna Rajamaki,FIN,6021
Sydney 2000,heptathlon women,14,Gertrud Bacher,ITA,5989
Sydney 2000,heptathlon women,15,Dina Koritskaia,RUS,5975
Sydney 2000,heptathlon women,16,Svetlana Kazanina,KAZ,5898
Sydney 2000,heptathlon women,17,Yasmina Kettab Azzizi,ALG,5896
Sydney 2000,heptathlon women,18,Viorica Tigau,ROU,5893
Sydney 2000,heptathlon women,19,Nathalie Teppe,FRA,5851
Sydney 2000,heptathlon women,20,Larysa Necheporuk,UKR,5762
Sydney 2000,heptathlon women,21,Irina Naumenko,KAZ,5634
Sydney 2000,heptathlon women,22,Marsha Mark Baird,TTO,5627
Sydney 2000,heptathlon women,23,Lyudmyla Blonska,UKR,5585
Sydney 2000,heptathlon women,24,Pramila Gudandda Ganapathy,IND,5548
Sydney 2000,heptathlon women,25,Soma Biswas,IND,5481
Sydney 2000,heptathlon women,26,Shelia Burrell,USA,5345
Sydney 2000,heptathlon women,27,Safiya Kabanova,UZB,5101
Sydney 2000,high jump women,1,Yelena Yelesina,RUS,2.01
Sydney 2000,high jump women,2,Hestrie Cloete,RSA,2.01
Sydney 2000,high jump women,3,Kajsa Bergqvist,SWE,1.99
Sydney 2000,high jump women,5,Inha Babakova,UKR,1.96
Sydney 2000,high jump women,6,Svetlana Zalevskaya,KAZ,1.96
Sydney 2000,high jump women,7,Vita Palamar,UKR,1.96
Sydney 2000,high jump women,8,Amewu Mensah,GER,1.93
Sydney 2000,high jump women,9,Monica Dinescu,ROU,1.93
Sydney 2000,high jump women,11,Zuzana Hlavonova,CZE,1.90
Sydney 2000,high jump women,13,Eleonora Milusheva,BUL,1.90
Sydney 2000,javelin throw women,1,Trine Hattestad,NOR,68.91
Sydney 2000,javelin throw women,2,Mirela Maniani,GRE,67.51
Sydney 2000,javelin throw women,3,Osleidys Menendez,CUB,66.18
Sydney 2000,javelin throw women,4,Steffi Nerius,GER,64.84
Sydney 2000,javelin throw women,5,Sonia Bisset,CUB,63.26
Sydney 2000,javelin throw women,6,Xiomara Rivero,CUB,62.92
Sydney 2000,javelin throw women,7,Tatyana Shikolenko,RUS,62.91
Sydney 2000,javelin throw women,8,Nikola Tomeckova,CZE,62.10
Sydney 2000,javelin throw women,9,Mikaela Ingberg,FIN,58.56
Sydney 2000,javelin throw women,10,Jianhua Wei,CHN,58.33
Sydney 2000,javelin throw women,11,Lei Li,CHN,56.83
Sydney 2000,javelin throw women,12,Claudia Coslovich,ITA,56.74
Sydney 2000,long jump women,1,Heike Drechsler,GER,6.99
Sydney 2000,long jump women,2,Fiona May 1,ITA,6.92
Sydney 2000,long jump women,3,Tatyana Kotova,RUS,6.83
Sydney 2000,long jump women,4,Olga Rublyova,RUS,6.79
Sydney 2000,long jump women,5,Susen Tiedtke,GER,6.74
Sydney 2000,long jump women,6,Jackie Edwards,BAH,6.59
Sydney 2000,long jump women,7,Tunde Vaszi,HUN,6.59
Sydney 2000,long jump women,8,Lyudmila Galkina,RUS,6.56
Sydney 2000,long jump women,9,Elva Goulbourne,JAM,6.43
Sydney 2000,long jump women,10,Dawn Burrell,USA,6.38
Sydney 2000,long jump women,11,Olena Shekhovtsova,UKR,6.37
Sydney 2000,marathon women,1,Naoko Takahashi,JPN,02h23:14
Sydney 2000,marathon women,2,Lidia Simon,ROU,02h23:22
Sydney 2000,marathon women,3,Joyce Chepchumba,KEN,02h24:45
Sydney 2000,marathon women,4,Esther Wanjiru,KEN,02h26:17
Sydney 2000,marathon women,5,Madina Biktagirova,RUS,02h26:33
Sydney 2000,marathon women,6,Elfenesh Alemu,ETH,02h26:54
Sydney 2000,marathon women,7,Eri Yamaguchi,JPN,02h27:03
Sydney 2000,marathon women,8,Bong Sil Ham,PRK,02h27:07
Sydney 2000,marathon women,9,Fatuma Roba,ETH,02h27:38
Sydney 2000,marathon women,10,Xiujuan Ren,CHN,02h27:55
Sydney 2000,marathon women,11,Kerryn Anne Mccann,AUS,02h28:37
Sydney 2000,marathon women,12,Maura Viceconte,ITA,02h29:26
Sydney 2000,marathon women,13,Tegla Loroupe,KEN,02h29:45
Sydney 2000,marathon women,14,Irina Bogacheva,KGZ,02h29:55
Sydney 2000,marathon women,15,Ari Ichihashi,JPN,02h30:34
Sydney 2000,marathon women,16,Adriana Fernandez,MEX,02h30:51
Sydney 2000,marathon women,17,Judit Foldingne Nagy,HUN,02h30:54
Sydney 2000,marathon women,18,Ornella Ferrara,ITA,02h31:32
Sydney 2000,marathon women,19,Christine Clark,USA,02h31:35
Sydney 2000,marathon women,20,Yong Ok Jong,PRK,02h31:40
Sydney 2000,marathon women,21,Manuela Machado,POR,02h32:29
Sydney 2000,marathon women,22,Nadezhda Wijenberg,NED,02h32:29
Sydney 2000,marathon women,23,Lyubov Morgunova,RUS,02h32:35
Sydney 2000,marathon women,24,Sonja Krolik,GER,02h33:45
Sydney 2000,marathon women,25,Martha Tenorio,ECU,02h33:54
Sydney 2000,marathon women,26,Marian Sutton,GBR,02h34:33
Sydney 2000,marathon women,27,Erika Olivera,CHI,02h35:07
Sydney 2000,marathon women,28,Chang Ok Kim,PRK,02h35:32
Sydney 2000,marathon women,29,Alina Gherasim,ROU,02h36:16
Sydney 2000,marathon women,30,Ana Isabel Alonso,ESP,02h36:45
Sydney 2000,marathon women,31,Colleen De Reuck,RSA,02h36:48
Sydney 2000,marathon women,32,Maria Portillo,PER,02h36:50
Sydney 2000,marathon women,33,Griselda Gonzalez 1,ESP,02h38:28
Sydney 2000,marathon women,34,Mi Ja Oh,KOR,02h38:42
Sydney 2000,marathon women,35,Susan Hobson,AUS,02h38:44
Sydney 2000,marathon women,36,Gadissie Edato,ETH,02h42:29
Sydney 2000,marathon women,37,Serap Aktas,TUR,02h42:40
Sydney 2000,marathon women,38,Daria Nauer,SUI,02h43:00
Sydney 2000,marathon women,39,Maria Luisa Munoz,ESP,02h45:40
Sydney 2000,marathon women,40,Inglandini Gonzalez,COL,02h47:26
Sydney 2000,marathon women,41,Gulsara Dadabaeva,TJK,02h51:03
Sydney 2000,marathon women,42,Gina Coello,HON,03h02:32
Sydney 2000,marathon women,43,Agueda Amaral,IOP,03h10:55
Sydney 2000,marathon women,44,Rhonda Davidson Alley,GUM,03h13:58
Sydney 2000,marathon women,45,Sirivanh Ketavong,LAO,03h34:27
Sydney 2000,pole vault women,1,Stacy Dragila,USA,4.60
Sydney 2000,pole vault women,2,Tatiana Grigorieva,AUS,4.55
Sydney 2000,pole vault women,3,Vala Flosadottir,ISL,4.50
Sydney 2000,pole vault women,4,Daniela Bartova,CZE,4.50
Sydney 2000,pole vault women,5,Nicole Humbert,GER,4.45
Sydney 2000,pole vault women,6,Yvonne Buschbaum,GER,4.40
Sydney 2000,pole vault women,7,Monika Pyrek,POL,4.40
Sydney 2000,pole vault women,8,Marie Rasmussen,DEN,4.35
Sydney 2000,pole vault women,9,Doris Auer,AUT,4.25
Sydney 2000,pole vault women,10,Shuying Gao,CHN,4.15
Sydney 2000,pole vault women,11,Kellie Suttle,USA,4.00
Sydney 2000,shot put women,1,Yanina Karolchik,BLR,20.56
Sydney 2000,shot put women,2,Larisa Peleshenko,RUS,19.92
Sydney 2000,shot put women,3,Astrid Kumbernuss,GER,19.62
Sydney 2000,shot put women,4,Svetlana Krivelyova,RUS,19.37
Sydney 2000,shot put women,5,Krystyna Danilczyk,POL,19.18
Sydney 2000,shot put women,6,Yumileidi Cumba,CUB,18.70
Sydney 2000,shot put women,7,Kalliopi Ouzouni,GRE,18.63
Sydney 2000,shot put women,8,Nadine Kleinert Schmitt,GER,18.49
Sydney 2000,shot put women,9,Lieja Koeman,NED,17.96
Sydney 2000,shot put women,10,Olga Ryabinkina,RUS,17.85
Sydney 2000,shot put women,11,Xiaoyan Cheng,CHN,17.85
Sydney 2000,shot put women,12,Valentina Fedyushyna,AUT,17.14
Sydney 2000,triple jump women,1,Tereza Marinova,BUL,15.20
Sydney 2000,triple jump women,2,Tatyana Lebedeva,RUS,15.00
Sydney 2000,triple jump women,3,Olena Hovorova,UKR,14.96
Sydney 2000,triple jump women,4,Yamile Aldama,CUB,14.30
Sydney 2000,triple jump women,5,Baya Rahouli,ALG,14.17
Sydney 2000,triple jump women,6,Cristina Elena Nicolau,ROU,14.17
Sydney 2000,triple jump women,7,Olga Vasdeki,GRE,14.15
Sydney 2000,triple jump women,8,Oksana Rogova,RUS,13.97
Sydney 2000,triple jump women,9,Anja Valant,SLO,13.59
Sydney 2000,triple jump women,10,Francoise Mbango Etone,CMR,13.53
Sydney 2000,triple jump women,11,Ashia Hansen,GBR,13.44
Atlanta 1996,10000m men,1,Haile Gebrselassie,ETH,27:07.34
Atlanta 1996,10000m men,2,Paul Tergat,KEN,27:08.17
Atlanta 1996,10000m men,3,Salah Hissou,MAR,27:24.67
Atlanta 1996,10000m men,4,Aloys Nizigama,BDI,27:33.79
Atlanta 1996,10000m men,5,Josphat Machuka,KEN,27:35.08
Atlanta 1996,10000m men,6,Paul Koech,KEN,27:35.19
Atlanta 1996,10000m men,7,Khalid Skah,MAR,27:46.98
Atlanta 1996,10000m men,8,Mathias Ntawulikura,RWA,27:50.73
Atlanta 1996,10000m men,9,Stephane Franke,GER,27:59.08
Atlanta 1996,10000m men,10,Jon Brown,GBR,27:59.72
Atlanta 1996,10000m men,11,Armando Quintanilla,MEX,28:09.46
Atlanta 1996,10000m men,12,Marko Hhawu,TAN,28:20.58
Atlanta 1996,10000m men,13,Abel Anton Rodrigo,ESP,28:29.37
Atlanta 1996,10000m men,14,Carlos De La Torre,ESP,28:32.11
Atlanta 1996,10000m men,15,Alejandro Gomez,ESP,28:39.11
Atlanta 1996,10000m men,16,Zoltan Kaldy,HUN,28:45.48
Atlanta 1996,10000m men,17,Worku Bikila,ETH,28:59.15
Atlanta 1996,10000m men,18,Stefano Baldini,ITA,29:07.77
Atlanta 1996,10000m men,19,Alyan Al Qahtani,KSA,
Atlanta 1996,10000m men,20,Paul William Evans,GBR,
Atlanta 1996,100m men,1,Donovan Bailey,CAN,9.84
Atlanta 1996,100m men,2,Frank Fredericks,NAM,9.89
Atlanta 1996,100m men,3,Ato Boldon,TTO,9.90
Atlanta 1996,100m men,4,Dennis Mitchell,USA,9.99
Atlanta 1996,100m men,5,Michael Marsh,USA,10.00
Atlanta 1996,100m men,6,Davidson Ezinwa,NGR,10.14
Atlanta 1996,100m men,7,Michael Green,JAM,10.16
Atlanta 1996,100m men,8,Linford Christie,GBR,
Atlanta 1996,110m hurdles men,1,Allen Johnson,USA,12.95
Atlanta 1996,110m hurdles men,2,Mark Crear,USA,13.09
Atlanta 1996,110m hurdles men,3,Florian Schwarthoff,GER,13.17
Atlanta 1996,110m hurdles men,4,Colin Jackson,GBR,13.19
Atlanta 1996,110m hurdles men,5,Emilio Valle,CUB,13.20
Atlanta 1996,110m hurdles men,6,Eugene Swift,USA,13.23
Atlanta 1996,110m hurdles men,7,Kyle Vander Kuyp,AUS,13.40
Atlanta 1996,110m hurdles men,8,Erick Batte,CUB,13.43
Atlanta 1996,1500m men,1,Noureddine Morceli,ALG,3:35.78
Atlanta 1996,1500m men,2,Fermin Cacho Ruiz,ESP,3:36.40
Atlanta 1996,1500m men,3,Stephen Kipkorir,KEN,3:36.72
Atlanta 1996,1500m men,4,Laban Rotich,KEN,3:37.39
Atlanta 1996,1500m men,5,William Tanui,KEN,3:37.42
Atlanta 1996,1500m men,6,Abdi Bile,SOM,3:38.03
Atlanta 1996,1500m men,7,Marko Koers,NED,3:38.18
Atlanta 1996,1500m men,8,Ali Hakimi,TUN,3:38.19
